time,open,high,low,close,volume
2018-02-26 01:00:00,1.22898,1.2304899999999999,1.22878,1.22976,2170
2018-02-26 02:00:00,1.22981,1.2319,1.2297799999999999,1.2315,2004
2018-02-26 03:00:00,1.2315,1.23173,1.23092,1.23102,1076
2018-02-26 04:00:00,1.23105,1.23146,1.23075,1.23126,816
2018-02-26 05:00:00,1.23126,1.2328299999999999,1.23105,1.2328299999999999,1742
2018-02-26 06:00:00,1.23282,1.23347,1.23243,1.23302,1744
2018-02-26 07:00:00,1.23302,1.23346,1.2315200000000002,1.2319799999999999,3732
2018-02-26 08:00:00,1.23204,1.23346,1.23157,1.23194,3451
2018-02-26 09:00:00,1.23197,1.235,1.2319,1.2342799999999998,2808
2018-02-26 10:00:00,1.2343,1.2355,1.23373,1.2346,2270
2018-02-26 11:00:00,1.23458,1.23486,1.23326,1.23355,1607
2018-02-26 12:00:00,1.23353,1.23377,1.2320799999999998,1.2320799999999998,2013
2018-02-26 13:00:00,1.23206,1.23268,1.23046,1.23046,2944
2018-02-26 14:00:00,1.23044,1.23146,1.22974,1.23037,3880
2018-02-26 15:00:00,1.2304,1.23072,1.22776,1.22896,5871
2018-02-26 16:00:00,1.22896,1.23176,1.22864,1.22949,3522
2018-02-26 17:00:00,1.2295200000000002,1.23088,1.229,1.23081,1855
2018-02-26 18:00:00,1.23076,1.2312100000000001,1.23019,1.23102,998
2018-02-26 19:00:00,1.23102,1.2314,1.23062,1.2311299999999998,921
2018-02-26 20:00:00,1.23116,1.23158,1.2308,1.23132,1028
2018-02-26 21:00:00,1.2313,1.23198,1.23114,1.23176,540
2018-02-26 22:00:00,1.23183,1.23183,1.23124,1.23126,825
2018-02-26 23:00:00,1.23124,1.2316200000000002,1.23088,1.2315200000000002,855
2018-02-27 00:00:00,1.2315,1.23372,1.23145,1.23318,2081
2018-02-27 01:00:00,1.2332,1.23369,1.23275,1.2336200000000002,1788
2018-02-27 02:00:00,1.23363,1.23427,1.2334,1.2336200000000002,1206
2018-02-27 03:00:00,1.23368,1.23373,1.2321799999999998,1.23242,1336
2018-02-27 04:00:00,1.23242,1.23282,1.23212,1.23242,852
2018-02-27 05:00:00,1.23238,1.23302,1.23234,1.2326,602
2018-02-27 06:00:00,1.2326,1.23337,1.23202,1.23268,1349
2018-02-27 07:00:00,1.23266,1.2344700000000002,1.23214,1.23397,3260
2018-02-27 08:00:00,1.23394,1.23464,1.23266,1.23344,3611
2018-02-27 09:00:00,1.23346,1.23389,1.23269,1.23314,2497
2018-02-27 10:00:00,1.23315,1.23378,1.2322,1.23279,2699
